Text,Target
पद्मा अर्याल कुरो सुन्दा पद्मा आईमाई बिष्णु पौडेल रखेल रैछ दुईमत रहेन ।,1
सम्मानित अदालत न्यायधीश भ्रस्ट ?,1
"युबराज कोईराला जस्ता देश सुपुत्र हरु छन , भ्रष्ट नेता , दलाल भुमाफिया हरु चैन सङ्ग देश लुट्न मिले कहि खाली ठाउ रहने ।",2
धन्यवाद युबराज कोइराला ज्यु ।,0
तिहाइ सरकार लाज लाग्दैन ?,1
बेला राजा नाम सम्पती सरकार नाम ल्याउनु भन्न लाज पचे नालायेक सरकार ।,1
"होइन , हाम्रो देश युवराज कोइरालाज्यू जस्ता सपूत रहेछन् , धन्य भएँ आज उहाँ सुनेर ।",0
बदमासी जनता राष्ट्रिय सम्पति लुटिए प्रथम चोटी खोजि अनुसन्धान बर्तमान सरकार कदम सुरूवात ।,0
लुटेरा ।,1
वाेले सुन्दा रौ thadoo hinxa ।,1
होइन कान्तिपुर जहिल्यै एकै किसिम अपराधी हरु लिएर आउँछ अतिथी नपाएर कान्तिपुर नियती खराब भएर ।,1
केशब बडाल चोर नेकपा साला अनुहार हेर्यो साइत बिग्रन्छ चोर ।,2
3 जना माहा पुरुष ठिक मन्त्री ज्यु प्रष्ट बुज्न सकिन्छ पद पाटी बचाउदै छिन ।,0
नेपाल राज्य ऐनकानुन भै सरकारी जमिन ब्याक्ति नाम ।,1
अन्त्य आयोग बहना ढिसमिस प्रपन्च ।,1
लाजमर्दो मन्त्रि अन्धा धुन्ध भईरा वल्ल सुनिराछ मन्त्रालय उपन्यास पढेर वस्छे क्या ।,1
केशब बडालभन्ने जन्तु tv च्यानल कहिल्यै नबोलाउनुहोस कहिल्यै साचो बोल्दैन मन्त्री अर्याल भु माफिया कै पक्ष छिन यस्ता मन्त्री !,1
हे भगवान् येस्ता आइमाई मन्त्रालय सम्हालेर बसे छ्न देश मा. .. सुगा सि पार्टि त्येहि बोले बुद्दि अनुभव ... धिक्कार नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने सब गुंगा बहिरा छ्न क्या ठाउँ मा. .. ।,1
सरकार अत्यन्तै राम्रोकार्य लागे ।,0
ज्यान बाजि लगाएर खोजेर ल्याए मुदा सरकारलाइ गर्ब बहिस्कार गर्पर्छ ।,1
स्याग्जा की मंन्त्री जिब्रो चपाएर बोली राकी छे कुरो थाछ ।,1
नेपाल नेता / नेती बोल्ने शैली हेरेर अचम्म लाग्यो ।,1
"छोडि दिऊ भो नेता ज्यु हरू गु खाने बाट देश केहि हुन्न बिकल्प आई सक्यो को# , बैशाख 21 गते1 बजे माईतिघर आउनुहोला हेर्न ।",1
काङ्ग्रेस यमाले माव रिप ।,1
"इ जागिर आयकालाइ समर्थन गरिन्न , बिबेकशिलसाझा लाइ गरिन्छ ।",0
"मन्त्री हरु , सम्सद हरु नराम्रो काम जनता दुख दिन , नेपाल नेपाली फसाउन खोजे ?",1
"हे भगवान पद्मा आर्यल मन्त्री सुन्दा रिस उच्च भोट दियर गल्ती गरे जनता , , ।",1
बडाल मानिस भूमाफिया हरू हनुमान पो रहेछ ।,1
बालुवाटार जाग्गा किन्न हुन्न जग्गा सरकार थाहा नभए कस्तो घाँस घसणी पौडेल ।,1
"केशव बडाल माते , चढे केपि कट्टु जस्ता बहस ल्याएर न्यायोचित जवाफ आउला लाग्दैन मलाइ ।",1
युबराज कोईराल जस्ता व्यक्ति देश रहेछ ।,0
उहाँ हृदय सम्मान ।,0
हाेइन सरकार स्वयम् हटे संकेत ।,1
राजिनामा ।,1
अचम्म लाग्छ भ्रष्टाचारी हरु सुन्दा 24 25 रिकार्ड फाइल रे हेन्ड ओभर गर्दा कस् बाउ खेलायेर बसेकाथेउ ?,1
सरकार भ्रष्टाचारी देश ।,1
सरकार अाए त्रिताल अायोग गठन भएर बालुवाटार काण्ड थाह पाए ।,0
मान्त्री गाली बिनाबाउ केटाकेटी हरु नकरात्मक कमेन्ट अफैँ थुक्ने काम गरे ।,1
नेता भनेसी चिड लागिसकेव यार कहिल्यै गल्ती याचना नगर्ने आफ्ना ढाकछोप ।,1
"राजै ठिक रैच यार , कोहि आउन इनिहरुलाइ जेल कोचुन यार , समर्थन गरिन्छ ।",1
घाँस रैछ मन्त्री ।,1
आईमे थाछैन हौ पद मात्रै बसे घास हरु ।,1
कोइराला साहस्लाइ big salute !,0
बिष्णु पौडेल महासचिव पद बाट हटाईएन नेकपा नेपाल ठूलो भ्रष्ट पार्टी सन्देश पुग्ने निश्चित !,1
"धन्यबाद निमेस जी , समसामायीक बिषय जनता जानकारी गराउनु ।",0
नेपाली जनता प्रधानमन्त्री संमान गर्छन ?,0
24 r 25 रिकॉर्ड फाईल रे hendover लिन्छौ साले पोस्ट जादा कार्यकाल समल्दा ।,1
मन्त्री ज्यु घुस लेनदेन मालपोत कार्यलय ।,1
डिजिटल समस्य झन बिकराल ।,1
सोम प्रसाद भ्रष्ट हरु कै मतियार प्रष्टै ।,1
कम्युनिस्ट पार्टी पार्टीगत रुपमै भ्रष्ट ।,1
"सुशासन रहित , भ्रष्ट ब्यक्ति हरु सत्ता रहे स्थिरता झनै खतरनाक ।",1
यस्ता गैरजिम्मेदार चोर टीवी नेपाली जनता नदेखाऊन अनूरोथ ।,2
अहिले सताधारी हरु जति सबैलाइ पद्च्युत नगरी देश बाट भ्रष्टाचार कहिले उन्मुलन हुन्न ।,1
"याे राष्ट्रघाती दलाल , पुजीँवाद जाेगाउने सरकार हाे ।",2
डाका लुटेरा हरु स्थिर सरकार अर्थ ?,2
सोम पाण्डे भ्रस्टाचारि मतियार लाग्यो ।,1
निबेस सर तपाईं मात्रै य औटा पत्रकार लाग्छ नारायण श्रेष्ठ ठाउँ लिन सक्नुहुन्छ !,0
आम्दानि श्रोत भ्रटचार ।,1
"जसरी नेता धनाड्य बन्दै त्यसरी कृषक मजदुर हरु कृषि उत्पादन उचित मुल्य नतोकिनु उचित पारिश्रमिक अनियन्त्रित , अनुचित मुल्यबृद्दी झन गरिव बनिरहे छन ।",1
कम्युनिष्ट खोले नेता खाली पार्टी बचाउ ।,1
"नेपाल नेता भ्रस्टचार , दलाली , कमिसन , देस जनता लुट्ने अनी नेता दिन , रात चौगुना धनी देस जनता कंगाल , गरीब बनाउँछ ?",1
सोम paande काम यस्लाइ पार्टी बाट हटाउनु ।,1
राजा तँ भस्त्रचार तँ गरेकोे ।,0
"पाण्डे भ्रष्टाचारी हरु मतियार होकि झैँ लाग्यो , अन्तरिम सरकार निकाल्ने बितिक् कै कनपारो तात्यो ?",1
नेता हरु बोल्छन गर्दैनन् बोल्दैनन् गर्छन् ।,1
धन्यवाद कान्तिपुर टेलीभिजन विषय बहस ।,0
हुनुपर्छ देश चोर भ्रष्ट घुसखोरी दलाल हरु ल्याउनु ।,2
नेकपा नेता भर्स्त जेगाउने सरकार बचाउने काम गरेकाछन ।,1
शमपती शुद्रीकरन केपी ओली शङग भय मुखय भरशाचारी ओली शिधै बुझिनछन ।,1
सोम प्रसात पान्दे कुत्ता बोला जन्ता हित गरदैन ।,2
एनसेल ६२अर्ब तीराउन लागी ठुलो भुमी खेल्ने न्याधीस सुरेन्द्र सर सलाम ।,0
तस्कर मिलेमतो आत्मनिर्भर उत्पादन क्षेत्र शून्य !,1
नहोस नेता तिन झोलेझाम्टे धनी !,2
कार्यक्रम आउनी सानो ठुलो नेता हरु भ्रष्टाचारि काराबाही सुनिन्छ ।,1
"सोमे दिमाग रैछ , येस्तो मान्छे बोला ?",1
देश बनाए एहि सरकार बनाउछ खोज्न थाल्यो देअ 50 बर्श जान्छ ।,0
सोम प्रसाद पाण्डे १ नम्बर दलाल यस्ता मिडिया नबोलाउनु कार्यक्रम विषय आर्को तिरा मोडिन्छ ।,2
सत्ताधारी कथित कम्युनिष्ट चोर लुटेरा खाते हरु रति लाज लाग्दो रहेनछ ।,2
"भ्रस्टचारी लाइ उल्मुल पर्ने सुरेन्द्र भण्डारी ज्यु दम तरिका बाट जानु , भ्रस्टचार खानि , कम्निस्ट भाश्रण सासन ।",0
सोम् पान्डे औकात् एउटा भ्रस्टाचारि मतियार् बाहेक् केहि छैन् ।,1
कान्तिपुर कहिलै अथिती ल्याउदैन ?,1
बिचार लाग्यो सुरन्द्र भण्डारी ज्यु अघि बढनु जनता अबस्य मिल्नेछ ।,0
खाउ चुतिया नेपालि रगत खाएर जु मोटाअो !,2
जोगि अाए कानै चिरे ।,1
भ्रस्टाचारी कारवाही गर काग्रेस होकि कम्निस्ट नेता होकि कार्यकर्ता वा कोहि ।,1
"बिदेश दाजुभाइ दिदिबहिनी हरु समेट्नु अनि , देश बेचिसकेउ अजिङ्गर हरु , ।",1
२ साही लगियो २ चै चोर ।,0
मुला सोम पाणे पानी वोभानो बन्छ अनि काङ्ग्रेस फ्यारो उस्तै ।,2
हिजो सत्तापक्ष आज दुबै जना तै चुप मैचुप लागेयो ।,1
इनि हरु मिलिभगत कैले नेपाल बर्वाद पार्ने भो ।,1
अनि पुरानो सम्रचना कर्मचारी हरु जरै फाकेर योग्य कर्मचारी शिक्षक हर ठाउँ हुनुर्ुपर्छ अनि रोकिएला देश खाल्डा जाओस् !,1
खरदार सुब्बा समात्ने भ्रष्ट नेता हरु संरक्षण त्यस्तो पार्टी कार्यकर्ता भर्ति अक्तियार खारिज ।,1
पहुना राम्रा सोम प्रसाद पाण्डे पैसा संसद बन्नु भाग चाहिँ ल्याउनु हुन्न होला आशा गर्दछु ।,1
सोम पान्डे बोल्यो की पारो तात्तेर आउछ ।,1
नेता हरु आम्दानी श्रोत कै भ्रस्टाचार नेता हरु सम्पत्ति छानबिन हुदैन अनि नेता गरेनी भो ।,1
देउबा लियर जिबितै छन भरस्टचारि निर्मुल पार्ने ।,1
सोम गोरु रहिछ ।,1
काड०गरेस कमीनीस्ट सरकार कालो मोसी भरीय सीसी !,1
सब चोर !,2
एमाले भ्रष्ट बिदेशि दलाल सोमप्रशा भनौदो बुर बुर उफ्रेर ठुला किना गरे हुदा हुँदै बालुवाटार हात पारा ?,2
भ्रष्ट गोरु हरुला नौडाडा समुन्द्र पारी नकटाई जनता बिकल्प जागौ जागौ बेलै जागौ ।,1
सोमे कोलि नन्दि बौलायो केहो भ्रष्टचार देखिन भन्छ ।,1
जनता चाहेभने राजनीति परिवर्तन ।,0
केहि होइना बाम एक्ता चोर फटा गुणडा हरु समुह ।,1
सोम भतुवा लाइ मिडिया लाउनु कान्तिपुर tv bhane ko chu ।,1
"यस्तै यिनि हरु अघि दोष दिदै जानेहो मल्लकाल , लिच्छवी काल हुँदै किरात काल शासकहरुलाइ दोष थुपर्नु बेर !",1
दल भनाउदा हरु मिलेर देश जनता लुटने दलाल माफिया हरु झुड ।,2
पडे लेखे मानीस गरने सैलि कति रामरो ।,0
देश समृद्धि साझा पाटि मात्रै ।,0
सबल अनि सक्षम रविन्द्र मिश्रजस्ताे जुझारु अनि उचित नेतृत्व राख्ने ल्याकत अहिले मन्ड अनि भ्रष्ट नेता ।,0
देश विकास अनि समृद्धिकाे पथ लैजान जङगे हाेइन केवल कार्यकाल साझा पार्टी नेतृत्व अपरिहार्य ।,0
आतंककारि भ्रष्टचारि तलुवाचटुवा हरु डिसलाइक गरेछन ।,1
साझा माझ lets rise together ।,0
खाली पुरानो थोत्रा अनुहार ल्याएर हेर्नै नहुने बनाए दहाल् ।,1
बक्ता भुषण दाहाल स्टुडियो सयोजक श्री रबिन्द्र मिश्र अन्तरबार्ता सार्है सान्दर्भिक लाग्यो ।,0
"सहमति , प्रश्न देश गणतन्त्र , संघीयता , धर्मनिरपक्षता समावेशी समृद्द ल्याउन कुम चिज रोके ?",0
बिदेश बस्ने युवा भोटीङ सुबिधा दिने साझा पाटि जित निस् सित यसैले अहिले नेता भनाउदा सुबिधा दिन चाँहादैन साझा बिदेश बस्ने युबा रुचाउँछन् साझा ।,0
आहा ... कति मिठो अनि स्पट तर्क हरु रवीन्द्र दाजु ।,0
"रबिन्द्र सर कूरो सहि , रबिन्द्र भारत पस्ची देश बाट सन्चिलीत भन्नसकिन्न नेपाल बिशवास लाग्दैन , ।",0
"सोच / विचार , आदर्श निस्पक्षता साझा अगाडि ल्याए एकदमै नेपाली हित ।",0
दिन साझा पार्टी खराब निस्कन्छ अनि औला ठडाउला विरोध गरौला अहिले विकल्प साझा साझा ।,1
साझानै अज बिकल्प ।,0
विरानो विदेश बस्ने रहर परिवर्तन खातिर आउदो चुनाव परिवर्तन बाहक रोजौं ।,1
रबिन्द्र सर सलाम ।,0
ह्जुर मान्छे नेपाल pm हुन्जेल नेपाल बन्दैन ।,1
हामी नेपाली जन्ता बुज्न थाले भोट अब्स्य साझा हाल्ने छौ ।,0
pm हुनु पर्ने मान्छे रबिन्द्र दाजु ।,0
एकदमै सहि रबिन्द्र सर हजुर अगाडि जाँदै गर्नुस हाम्रो सपोर्ट हजुर ।,0
रबिन्द्र सर आवाज जोस दम आश रबिन्द्र सर ।,0
देस जनता हालत अति आजित भो ।,1
नया साझा पार्टी समर्थन गरौ🤝🤝🤝 ।,0
रबिन्द्र मिश्र नेपाल खोजिरहे इमरान खान ।,0
"सभ्य , सुस्कृत पारदर्शी राजनितिक ब्यबस्था नेपाल आज आवश्यकता ।",0
"भुषण दाहाल ग्लामर बढि , ज्ञान कम ।",1
"नेपाल इमरान खान , लीक्वान यु माथीरबीन महमद उफ रबीन्द्र मीश्र जीन्दाबाद जीन्दाबाद ।",0
कहाँ गयो रात दिन करायर हिड्ने पद्खोर सुरेन्द्र सि ?,1
केहि यसता नेता हराउन गरेन बुढो ।,1
"रबिन्द्र मिस्र , @ रहने ।",0
आज मजा कार्यक्रम नसकिन्जेल हेरिरहन मन लाग्यो ।,0
साझा पार्टी देखाउँछ देखाउँछ ।,0
नेपाली जनता दुईचार प्याग रक्सी पॉच दस हजार पैसा बिके भ्रष्टचारी हरु भरौटे कार्यकर्ता हरु हुना ब्यत्ती सत्ता नपुगे ।,0
योजाना हरु छन रबिन्द्र मिश्र सङ्ग रहेछन मनपर्यो ।,0
काम जानुहाेला 100% समर्थन रबिन्द्र सर ।,0
हाम्रो गल्ती : जैले पुरानो पार्टी चयन .,1
एक्दम खुसी भो मन सलाम ।,0
चाई मन पर्ने मान्छे रवीन्द्र मिश्र ।,0
"रबिन्द्र सर अनि व्यबहार हेर्दा साझा पार्टि बिस्वास आधार हरु प्रसस्त , भेटिन्छ ।",0
"एकचोटी दिएर हेरौ साझा पार्टि अनि नगरे खण्ड भनौ , पार्टी चेन्ज गरौ , अबिस्वास गरौ ।",1
अहिले अवस्यता भेने साझा ।,0
कहिले नरिसाइकन अन्तर्वार्ता लिन सक्ने उत्ते जना धैर्यता बढी सालीन व्यक्तित्त्व आदरणीय भूषण दाहाल प्रष्ट वक्ता रवीन्द्र मिश्र संवाद निकै प्रभाव पार्‍यो ।,0
सारै लाग्यो सर हजुर प्रभाबित ।,0
आशा विवेकसिल शाझा जय नेपाल ।,0
बुद्धि जिबि हरु मिठो ... ... ... ... ... we r with you रबिन्द्र सर् ।,0
"हामी शुसासन , देख्ने सचेत नागरिक हजुर छै , ।",0
अबा देश बिकास समृद्धि सझा पट्टि अबस्यक||छा सझा पट्टि जिन्दावाद ।,0
मन परे नेता पार्टी येहि ।,0
पार्टी एजेन्डा सारै ।,0
अनि रबिन्दर सर बोल्ने शैली जवाफ दिने तरिका एक्दमै मन ।,0
रबिन्द्र मीश्र ज्यु सहि लाग्यो ।,0
"७ फेल नेपाली भेडा हरु बुज्थे रबिन्द्र सोच , धारणा , भाषा ... उखान टुक्कामै मुक्त हुन्छन ... . अाज देश बिगारे नेता हैन , ७ फेल भेडा हरु ७ फेल भेडा बाउ हरु हैन , , , ।",0
रबिन्द्र सर आउने पुस्ता परिवर्तन पुर्ण बिस्वस्त ।,0
बिदेश नेपालि मत हाल्न सक्ने भयो 100% sajhaa party जित्छ हाम्रै पालो बिकाश अनुभुति पाउनेछौ ।,0
ब्यक्ति आम्ने साम्ने भये हेर्ने इच्छा आज पूरा भयो थोरै होकि कोउतल्ता सुन्दा सुन्दा कति खेर सकियेछ थाहै भयेन ।,0
"रबिन्द्र जी , अन्तरवार्ता दिन आउनुभए ठुलो शिक्षा जानकारी दिएर जानुभयो ।",0
याे हाे देश जनता मागेकाे नेताकाे लाइन ।,0
नेता पो हुनुपरोत ।,0
सालिन ब्याक्ती रबिन्द्र सर सिर्जनात्मक सोचाइ लागन आग्रह ।,0
"सारै राेचक अन्तर्वार्ता , अागामी अाम निर्वाचन बाट बहुमत प्राप्त प्र .",0
"म. भएर देश बिकास उन्नति हाम्रै पाला हाे , रवीन्द्र मिश्र जि काे दिने जति यता हाजिर हुम है ।",0
"अहिले भैरहे पार्टी हरु मध्य पार्टी नेता हरु मध्य नेता ( बिचार , शैलि आचरण कारण ) रबिन्द्र मिश्र सम्पुर्णरुप सहयोग रहनेछ ।",0
मिस्र जि फेन है ।,0
नी नेता रबिन्द्र मिश्र सरल तरिका प्रश्न उत्तर दिनु ।,0
आज बल्ल मजा fireside हेर्दा ।,0
रबिन्द्र जि साझा पार्टी सहयोग कहाँ बाट सदस्यता लिन सकिन्छ ।,0
अबकाे अाशा हामि नेपालिकाे शाझा ।,0
रवीन्द्र मिश्र सर सोज विचार नेता हाम्रो देश अहिले एस्तो अवस्था हुन्न ।,0
निति व्यबहार पार्टी ।,0
हाम्रै जीवनकाल बदलिन्छ नेपाल रबिन्द्र मिश्र प्रधानमन्त्री ।,0
पाटिलाइ सहयोग भोट ।,0
रबिन्द्र ज्यु आज चाहिँ मन जित्ने अन्तरबार्ता दिनु भयो ।,0
अडिक रहनु होला थाक्ने सुबिधा तपाईं जनता १ दिन अबस्य बुझ्ने छन दिनेछन ।,0
पाटी बिदेश रहे सम्पुर्ण नेपाली भोट हाल्न पाउनु अनि 2047 पछाडि सम्पुर्ण उच्च तह रहे ब्यक्ति हरु सम्पत्ति छानबिन यश सिद्धांत ठिक ।,0
आश लागे रबिन्द्र बाट ।,0
आशा विवेकशील साझा ।,0
यिनि दलाल हरू गर्दा नेपाल लोड सेडिङ् यिनि हरू ठिक पार्नु कुलमान जि ।,2
हामीसबै ।,0
